id;placed_date;status;code;invoice_id;customer_id
1;2023-02-05T11:37:07;COMPLETED;Electronics;ivory withdrawal;1
2;2023-02-05T11:13:52;PENDING;functionalities;compress Soft cross-platform;2
3;2023-02-05T19:38:26;PENDING;Concrete;THX Car hybrid;3
4;2023-02-05T17:19:57;PENDING;solid navigating;Holy United communities;4
5;2023-02-05T15:26:14;COMPLETED;circuit Industrial Checking;program;5
6;2023-02-05T17:05:54;PENDING;Reactive contingency Bedfordshire;Market input;6
7;2023-02-05T01:35:25;CANCELLED;Chair JSON;Credit RAM Metal;7
8;2023-02-05T09:44:09;CANCELLED;Beauty mission-critical;collaborative;8
9;2023-02-05T01:08:37;CANCELLED;hacking proactive;Concrete Streamlined Division;9
10;2023-02-05T07:15:10;PENDING;full-range back;eco-centric FTP;10
